Date,Open,High,Low,Close,Volume
7-Dec-16,"8,168.40","8,190.45","8,077.50","8,102.05",-
6-Dec-16,"8,153.15","8,178.70","8,130.85","8,143.15",-
5-Dec-16,"8,088.75","8,141.90","8,056.85","8,128.75",-
2-Dec-16,"8,153.55","8,159.30","8,070.05","8,086.80",-
1-Dec-16,"8,244.00","8,250.80","8,185.05","8,192.90",-
30-Nov-16,"8,172.15","8,234.25","8,139.25","8,224.50",-
29-Nov-16,"8,131.55","8,197.35","8,128.70","8,142.15",-
28-Nov-16,"8,080.65","8,146.50","8,066.50","8,126.90",-
25-Nov-16,"8,007.95","8,122.25","7,976.75","8,114.30",-
24-Nov-16,"8,011.80","8,024.85","7,952.55","7,965.50",-
23-Nov-16,"8,051.20","8,055.20","7,973.10","8,033.30",-
22-Nov-16,"7,989.15","8,019.05","7,938.15","8,002.30",-
21-Nov-16,"8,102.10","8,102.45","7,916.40","7,929.10",-
18-Nov-16,"8,097.55","8,128.95","8,048.30","8,074.10",-
17-Nov-16,"8,105.10","8,151.25","8,060.30","8,079.95",-
16-Nov-16,"8,205.65","8,210.05","8,089.40","8,111.60",-
15-Nov-16,"8,284.85","8,288.55","8,093.20","8,108.45",-
11-Nov-16,"8,456.65","8,460.60","8,284.95","8,296.30",-
10-Nov-16,"8,555.60","8,598.45","8,510.70","8,525.75",-
9-Nov-16,"8,067.50","8,476.20","8,002.25","8,432.00",-
8-Nov-16,"8,540.00","8,559.40","8,480.10","8,543.55",-
7-Nov-16,"8,535.75","8,535.85","8,481.45","8,497.05",-
4-Nov-16,"8,503.60","8,504.00","8,400.25","8,433.75",-
3-Nov-16,"8,499.85","8,537.65","8,476.15","8,484.95",-
2-Nov-16,"8,542.80","8,549.50","8,504.85","8,514.00",-
1-Nov-16,"8,653.15","8,669.60","8,614.50","8,626.25",-
28-Oct-16,"8,625.00","8,653.75","8,581.75","8,638.00",-
27-Oct-16,"8,607.10","8,624.85","8,550.25","8,615.25",-
26-Oct-16,"8,657.30","8,657.30","8,596.60","8,615.25",-
25-Oct-16,"8,721.70","8,722.65","8,663.45","8,691.30",-
